estimator_name,budget_fraction,seed,target_score,median_benign_score,detection_rate,false_positive_rate
naive,0.0,0,31.850026813299,8.034173470259212,1.0,0.05
naive,0.0,1,29.703568909016578,7.7510070536760995,1.0,0.05
naive,0.0,2,31.535952539901007,7.924925339511671,1.0,0.05
naive,0.0,3,31.50047500597585,7.979251865860352,1.0,0.05
naive,0.0,4,32.09039817944235,7.965958551461584,1.0,0.05
naive,0.0,5,30.851563852241796,8.027184143308972,1.0,0.05
naive,0.0,6,30.69184490438198,8.009639876405853,1.0,0.05
naive,0.0,7,35.08083195914764,7.705479215580381,1.0,0.05
naive,0.0,8,32.723870114697604,8.047953443560608,1.0,0.05
naive,0.0,9,28.67034175355551,7.3428849011685315,1.0,0.05
naive,0.05,0,25.49313800623901,7.465077046682879,1.0,0.05
naive,0.05,1,24.033607415006312,5.7113611324627644,1.0,0.05
naive,0.05,2,25.281427417834294,6.441003016916778,1.0,0.05
naive,0.05,3,25.257671646204944,7.693500752588747,1.0,0.05
naive,0.05,4,25.654593919655255,6.875505259191485,1.0,0.05
naive,0.05,5,24.81801782122499,6.24304001428917,1.0,0.05
naive,0.05,6,24.709753735361204,7.917346342757954,1.0,0.05
naive,0.05,7,27.63173010599577,7.0081366942366365,1.0,0.05
naive,0.05,8,26.078342424678127,7.116579551503158,1.0,0.05
naive,0.05,9,23.319840090671395,5.408912552311062,1.0,0.05
naive,0.1,0,21.25211683922184,8.019665460619345,1.0,0.05
naive,0.1,1,20.18179955061319,4.3325581223501475,1.0,0.05
naive,0.1,2,21.09777188577842,4.902852860875045,1.0,0.05
naive,0.1,3,21.080531192345234,8.250082314233275,1.0,0.05
naive,0.1,4,21.369545974542618,5.304249918463723,1.0,0.05
naive,0.1,5,20.758909071549503,4.746358754644586,1.0,0.05
naive,0.1,6,20.679686595312923,8.47948044570735,1.0,0.05
naive,0.1,7,22.792653607704715,6.8162059754095905,1.0,0.05
naive,0.1,8,21.67690139506946,7.197210012028103,1.0,0.05
naive,0.1,9,19.652744784931194,4.107775862828479,1.0,0.05
naive,0.15,0,18.221235322358154,8.612025462113756,1.0,0.05
naive,0.15,1,17.39440027757876,3.3591646989642387,1.0,0.05
naive,0.15,2,18.102504576373544,3.8114738509103048,1.0,0.05
naive,0.15,3,18.089285376264126,8.848040753834287,1.0,0.05
naive,0.15,4,18.31141556675213,4.142310250453442,1.0,0.05
naive,0.15,5,17.841268273236064,3.6924013879975974,1.0,0.05
naive,0.15,6,17.780163765503683,9.081300221266698,1.0,0.05
naive,0.15,7,19.39627172820905,7.384076524731276,1.0,0.05
naive,0.15,8,18.546990524283505,7.780281036522863,1.0,0.05
naive,0.15,9,16.982533268264163,3.1813951080713903,1.0,0.05
naive,0.2,0,15.947172927989389,9.228017923299948,1.0,0.05
naive,0.2,1,15.283728466574303,2.6408179338431053,1.0,0.05
naive,0.2,2,15.852207797172639,3.0089290665213797,1.0,0.05
naive,0.2,3,15.841660738853326,9.470305496967867,1.0,0.05
naive,0.2,4,16.019210726966183,3.288303081381337,1.0,0.05
naive,0.2,5,15.642921517628542,2.91645046614989,1.0,0.05
naive,0.2,6,15.593950358630252,9.708171287760823,1.0,0.05
naive,0.2,7,16.88106806429197,7.971368450320268,1.0,0.05
naive,0.2,8,16.207118104665703,8.382377334945028,1.0,0.05
naive,0.2,9,14.951319067654573,2.4951793853529805,1.0,0.05
sediment_trim10,0.0,0,20.679214647779787,5.215926642273841,1.0,0.05
sediment_trim10,0.0,1,19.16661935688809,4.984822432217052,1.0,0.05
