estimator_name,budget_fraction,seed,target_score,median_benign_score,detection_rate,false_positive_rate
naive,0.0,0,130.10496311389392,7.398533932552077,1.0,0.05
naive,0.0,1,130.44288337865999,7.5135589766060225,1.0,0.05
naive,0.0,2,132.51728417092497,7.973944054488765,1.0,0.05
naive,0.0,3,130.0787514004185,7.8354125913021155,1.0,0.05
naive,0.0,4,135.02018936474292,7.493218791610779,1.0,0.05
naive,0.0,5,128.47187017442934,7.345113859692394,1.0,0.05
naive,0.0,6,132.86434758836563,7.361338112362507,1.0,0.05
naive,0.0,7,127.76299716746091,7.103433878666017,1.0,0.05
naive,0.0,8,134.4157947493743,7.428513151771146,1.0,0.05
naive,0.0,9,129.18644623592826,7.436165318411694,1.0,0.05
naive,0.05,0,69.71815981661143,4.440355152865433,1.0,0.05
naive,0.05,1,69.79918896931812,4.63928660677643,1.0,0.05
naive,0.05,2,70.38100444809203,4.854852375971236,1.0,0.05
naive,0.05,3,69.64307969618861,4.951300562965202,1.0,0.05
naive,0.05,4,71.12660731050343,4.599272414460989,1.0,0.05
naive,0.05,5,69.1895381134681,4.523613446412473,1.0,0.05
naive,0.05,6,70.5747796345804,4.556221393716461,1.0,0.05
naive,0.05,7,68.98652497762258,4.426144320014662,1.0,0.05
naive,0.05,8,71.01815133417745,4.5726211999933835,1.0,0.05
naive,0.05,9,69.4473001758582,4.499482460689046,1.0,0.05
naive,0.1,0,47.63515739679602,3.6190266350958993,1.0,0.05
naive,0.1,1,47.67139865072035,3.7978538423660453,1.0,0.05
naive,0.1,2,47.94815398917621,3.972820710492678,1.0,0.05
naive,0.1,3,47.58672119086947,4.110686318035049,1.0,0.05
naive,0.1,4,48.31181374991952,3.8053938905159534,1.0,0.05
naive,0.1,5,47.36986797849984,3.695437111662913,1.0,0.05
naive,0.1,6,48.05822817191268,3.7000078720572103,1.0,0.05
naive,0.1,7,47.27300743297415,3.6362804709831558,1.0,0.05
naive,0.1,8,48.27096999614686,3.7590742013828375,1.0,0.05
naive,0.1,9,47.503476961450666,3.5831689815895387,1.0,0.05
naive,0.15,0,36.1800766890791,3.409151829623043,1.0,0.05
naive,0.15,1,36.20091237687751,3.5295718148370225,1.0,0.05
naive,0.15,2,36.36538620085304,3.7622812475406375,1.0,0.05
naive,0.15,3,36.147232485894726,3.814537787108818,1.0,0.05
naive,0.15,4,36.58446540537357,3.5240916177619637,1.0,0.05
naive,0.15,5,36.01793194154007,3.472783294359981,1.0,0.05
naive,0.15,6,36.43648146165089,3.5340182437203724,1.0,0.05
naive,0.15,7,35.96034247686386,3.3937085854968965,1.0,0.05
naive,0.15,8,36.56353400412226,3.5864532175950097,1.0,0.05
naive,0.15,9,36.10086946864287,3.3001348374516217,1.0,0.05
naive,0.2,0,29.16766159151439,3.4142333684542123,1.0,0.05
