estimator_name,budget_fraction,seed,target_score,median_benign_score,detection_rate,false_positive_rate
naive,0.0,0,130.10496311389392,7.398533932552077,1.0,0.05
naive,0.0,1,130.44288337865999,7.5135589766060225,1.0,0.05
naive,0.0,2,132.51728417092497,7.973944054488765,1.0,0.05
naive,0.0,3,130.0787514004185,7.8354125913021155,1.0,0.05
naive,0.0,4,135.02018936474292,7.493218791610779,1.0,0.05
naive,0.0,5,128.47187017442934,7.345113859692394,1.0,0.05
naive,0.0,6,132.86434758836563,7.361338112362507,1.0,0.05
naive,0.0,7,127.76299716746091,7.103433878666017,1.0,0.05
naive,0.0,8,134.4157947493743,7.428513151771146,1.0,0.05
naive,0.0,9,129.18644623592826,7.436165318411694,1.0,0.05
naive,0.0,10,127.89450652825724,7.7035320095005355,1.0,0.05
naive,0.0,11,129.89932397220917,7.605827795887277,1.0,0.05
naive,0.0,12,134.20206304048827,7.358846156002945,1.0,0.05
naive,0.0,13,127.31858968057048,7.430448461560368,1.0,0.05
naive,0.0,14,129.81873766653212,7.370952797985541,1.0,0.05
naive,0.02,0,96.61021290952301,5.677799555745833,1.0,0.05
naive,0.02,1,96.77799919340492,5.810912654743065,1.0,0.05
naive,0.02,2,97.89952353601232,6.146320612371875,1.0,0.05
naive,0.02,3,96.52536300066271,6.096386018938389,1.0,0.05
naive,0.02,4,99.2965770536807,5.849497986190933,1.0,0.05
naive,0.02,5,95.65475571801323,5.704828557036124,1.0,0.05
naive,0.02,6,98.18816911771788,5.777380968879321,1.0,0.05
naive,0.02,7,95.26621581042211,5.576140512731829,1.0,0.05
naive,0.02,8,99.03496065881089,5.863483014548997,1.0,0.05
naive,0.02,9,96.10047420649778,5.801622654836555,1.0,0.05
naive,0.02,10,95.37472149232431,5.947617272957842,1.0,0.05
naive,0.02,11,96.48829415021086,5.770216740530285,1.0,0.05
naive,0.02,12,98.83013938162328,5.692166559594691,1.0,0.05
naive,0.02,13,95.03900224581696,5.8519238968305896,1.0,0.05
naive,0.02,14,96.37985179584086,5.665060441003571,1.0,0.05
naive,0.04,0,76.8463855822109,4.7019255955035035,1.0,0.05
naive,0.04,1,76.94667371374051,4.889525071132512,1.0,0.05
naive,0.04,2,77.65300410184258,5.207292117927487,1.0,0.05
naive,0.04,3,76.76541989684077,5.204359023695334,1.0,0.05
naive,0.04,4,78.55118620520035,4.93718350637767,1.0,0.05
naive,0.04,5,76.2155472690298,4.820649041128409,1.0,0.05
naive,0.04,6,77.87385624102089,4.885038295701033,1.0,0.05
naive,0.04,7,75.96946695794585,4.729434002152759,1.0,0.05
naive,0.04,8,78.41072064139361,4.9041271784705165,1.0,0.05
naive,0.04,9,76.5197315296121,4.79768018098894,1.0,0.05
naive,0.04,10,76.05191745006607,5.0522550937482675,1.0,0.05
